id_estacion,hour,weekNumber,dayOfWeek,lat,long,num_bikes_available
4.0,7,38,4,-34.6017255,-58.368762800000006,1.0
4.0,7,38,5,-34.6017255,-58.368762800000006,0.0
4.0,7,38,6,-34.6017255,-58.368762800000006,1.0
4.0,8,38,0,-34.6017255,-58.368762800000006,3.0
4.0,8,38,1,-34.6017255,-58.368762800000006,2.0
4.0,8,38,2,-34.6017255,-58.368762800000006,4.0
4.0,8,38,3,-34.6017255,-58.368762800000006,1.0
4.0,8,38,4,-34.6017255,-58.368762800000006,1.0
4.0,8,38,5,-34.6017255,-58.368762800000006,1.0
4.0,8,38,6,-34.6017255,-58.368762800000006,0.0
4.0,9,38,0,-34.6017255,-58.368762800000006,1.0
4.0,9,38,1,-34.6017255,-58.368762800000006,4.0
4.0,9,38,2,-34.6017255,-58.368762800000006,0.0
4.0,9,38,3,-34.6017255,-58.368762800000006,1.0
4.0,9,38,4,-34.6017255,-58.368762800000006,4.0
4.0,9,38,5,-34.6017255,-58.368762800000006,1.0
4.0,9,38,6,-34.6017255,-58.368762800000006,0.0
4.0,10,38,0,-34.6017255,-58.368762800000006,1.0
4.0,10,38,1,-34.6017255,-58.368762800000006,5.0
4.0,10,38,2,-34.6017255,-58.368762800000006,1.0
4.0,10,38,3,-34.6017255,-58.368762800000006,5.0
4.0,10,38,4,-34.6017255,-58.368762800000006,3.0
4.0,10,38,5,-34.6017255,-58.368762800000006,0.0
4.0,10,38,6,-34.6017255,-58.368762800000006,0.0
4.0,11,38,0,-34.6017255,-58.368762800000006,2.0
4.0,11,38,1,-34.6017255,-58.368762800000006,4.0
4.0,11,38,2,-34.6017255,-58.368762800000006,0.0
4.0,11,38,3,-34.6017255,-58.368762800000006,4.0
4.0,11,38,4,-34.6017255,-58.368762800000006,5.0
4.0,11,38,5,-34.6017255,-58.368762800000006,1.0
4.0,11,38,6,-34.6017255,-58.368762800000006,0.0
4.0,12,38,0,-34.6017255,-58.368762800000006,3.0
4.0,12,38,1,-34.6017255,-58.368762800000006,0.0
4.0,12,38,2,-34.6017255,-58.368762800000006,0.0
